step1_present,step2_present,step3_present,step4_present,is_correct
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,0
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,0
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,0
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,1,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,0
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,1,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,0,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,1
